"firstname","lastname","employeenumber","attrition","jobdirect","joblevel","numcompaniesworked","totalworkingyears","yearsatcompany","yearsincurrentrole","yearssincelastpromotion","yearswithcurrmanager","jobtitle"
"Blinni","Panketh",390,False,"Marketing","1",1,5,5,3,3,3,"Marketing B2C Content Creatives"
"Kellby","Attrill",391,False,"IT","1",1,17,17,12,5,7,"IT Operation Big Data Analyst"
"Alleyn","McGiven",392,True,"IT","1",3,19,1,0,0,0,"IT Security Internal Analyst"
"Daryn","Mitchel",393,False,"Marketing","1",9,10,2,2,1,2,"Marketing B2C Content Creatives"
"Barbaraanne","Lodford",394,True,"IT","1",2,5,3,2,0,2,"IT Operation Big Data Support"
"Packston","Jennens",395,False,"IT","1",1,5,5,3,0,2,"IT Security Internal Analyst"
"Berenice","Revill",396,False,"IT","1",9,22,3,2,1,2,"IT Planning Product Assessment"
"Shannen","Shelmardine",397,False,"IT","1",4,10,8,0,7,7,"IT Security External Network"
"Nikki","Jacobsen",399,False,"Marketing","1",1,2,2,2,2,2,"Marketing B2C Content Creatives"
"Valentina","Delap",401,True,"Marketing","1",1,8,8,7,7,4,"Marketing B2C Content Creatives"
"Happy","Dake",403,False,"IT","1",1,4,4,2,1,2,"IT Operation Big Data Support"
"Bettina","Plessing",404,False,"Marketing","1",5,23,20,4,4,8,"Marketing B2C Content Creatives"
"Annice","Dysert",405,True,"IT","1",1,0,0,0,0,0,"IT Operation Big Data Consultant"
"Rogerio","Gaze",406,False,"Marketing","1",0,12,11,9,6,9,"Marketing B2C Content Creatives"
"Alexandros","Leyband",407,False,"IT","1",4,4,1,0,0,0,"IT Security Internal Auditor"
"Leonie","Cockle",408,False,"IT","1",5,13,4,1,1,2,"IT Planning People Assessment"
"Arv","Hasely",410,False,"Marketing","1",1,22,22,10,0,4,"Marketing B2C Content Creatives"
"Gena","Extall",411,False,"Marketing","1",1,0,0,0,0,0,"Marketing B2C Content Creatives"
"Nancee","Muzzini",412,False,"Marketing","1",0,9,8,3,0,7,"Marketing B2C Content Creatives"
"Tiena","Backman",416,False,"Marketing","1",4,10,8,7,7,7,"Marketing B2C Content Creatives"
"Karola","Hanson",417,False,"Marketing","1",0,19,18,10,3,7,"Marketing B2C Content Creatives"
"Ivett","McCoughan",419,False,"IT","1",7,11,9,8,0,8,"IT Planning People Assessment"
"Kane","Zima",420,False,"Marketing","1",1,13,13,8,4,8,"Marketing B2C Content Creatives"
"Hastings","Mora",421,False,"IT","1",3,19,10,8,0,1,"IT Planning Product Innovation"
"Bartholomeo","Conford",422,False,"Marketing","1",2,12,5,3,1,2,"Marketing B2C Content Creatives"
"Winnah","Farndon",423,False,"IT","1",0,6,5,2,0,3,"IT Security External Analyst"
"Hans","OConnor",424,False,"Human Resources","1",3,9,2,2,1,0,"HR Organization External Services"
"Laurianne","Suttaby",425,False,"IT","1",1,24,24,9,9,11,"IT Planning People Assessment"
"Tod","Tuff",426,False,"IT","1",0,3,2,2,2,2,"IT Operation Infrastructure Support"
"Lilia","Keepe",428,False,"IT","1",6,12,10,6,8,8,"IT Planning Product Innovation"
"Patrice","Sumers",429,False,"IT","1",1,21,21,9,11,10,"IT Planning Product Assessment"
"Stafford","Piddlesden",430,False,"IT","1",0,9,8,7,1,7,"IT Operation Infrastructure Consultant"
"David","Firth",431,False,"Marketing","1",7,25,7,1,0,7,"Marketing B2C Content Creatives"
"Cassandre","Haygreen",433,True,"IT","1",2,11,8,2,7,7,"IT Security External Analyst"
"Katheryn","Bickersteth",434,False,"IT","1",1,4,4,3,1,2,"IT Operation Infrastructure Consultant"
"Izak","Van THoog",436,False,"Marketing","1",1,13,13,12,11,9,"Marketing B2C Content Creatives"
"Agustin","Fowlston",437,False,"Marketing","1",1,5,5,4,0,4,"Marketing B2C Content Creatives"
"Abbe","Beadnall",438,False,"Marketing","1",4,13,7,7,1,7,"Marketing B2C Content Creatives"
"Vi","Sygrove",439,False,"IT","1",7,10,7,7,0,7,"IT Security External Analyst"
"Dulcinea","Comar",440,True,"IT","1",5,5,3,2,2,2,"IT Security Internal Auditor"
"Dillie","Casier",441,False,"IT","1",1,11,10,8,1,9,"IT Planning People Monitoring"
"Pippo","Lafranconi",442,False,"IT","1",1,10,10,9,8,9,"IT Planning People Innovation"
"Aleta","Spurden",444,False,"IT","2",1,21,21,9,13,3,"IT Planning People Assessment"
"Henrik","Phette",445,True,"Marketing","1",4,12,1,0,0,0,"Marketing B2C Content Creatives"
"Cilka","Neiland",446,False,"Marketing","1",3,9,7,7,0,1,"Marketing B2C Content Creatives"
"Brady","Newland",447,False,"IT","1",4,21,3,2,1,1,"IT Planning Product Assessment"
"Aksel","Firman",448,False,"IT","1",1,9,9,7,0,0,"IT Planning People Assessment"
"Karlie","Gethyn",449,False,"Marketing","1",0,6,5,4,1,4,"Marketing B2C Content Creatives"
"De witt","Whitlow",450,False,"IT","1",3,20,4,3,0,3,"IT Security External Analyst"
"Caro","Higgonet",451,False,"Marketing","1",8,10,1,0,0,0,"Marketing B2C Content Creatives"
"Damaris","Clurow",452,False,"IT","1",9,12,10,9,9,8,"IT Security Internal Auditor"
"Dorie","Kendle",453,False,"Marketing","1",2,6,4,3,0,2,"Marketing B2C Content Creatives"
"Gabriello","Cheyney",454,True,"IT","1",1,7,7,7,0,7,"IT Operation Big Data Analyst"
"Ulrick","Rowlatt",455,False,"IT","1",0,4,3,2,2,2,"IT Security External Auditor"
"Edy","Antram",456,False,"Marketing","1",1,10,10,9,1,2,"Marketing B2C Content Creatives"
"Elonore","Gillbee",458,False,"Marketing","1",1,8,8,7,0,7,"Marketing B2C Content Creatives"
"Maurise","Tosdevin",460,False,"IT","1",7,8,6,2,0,4,"IT Planning People Monitoring"
"Kalila","Leale",461,False,"IT","1",0,12,11,10,2,9,"IT Planning Product Innovation"
"Haven","McHugh",462,False,"IT","1",1,11,11,9,4,10,"IT Planning People Innovation"
"Maggi","Meo",463,False,"Marketing","1",1,7,7,7,1,7,"Marketing B2C Content Creatives"
"Chadd","Sanpher",464,False,"IT","1",0,17,16,6,0,13,"IT Planning People Innovation"
"Alfreda","Stamps",465,False,"IT","1",1,4,4,2,0,2,"IT Security Internal Network"
"Dorian","Goter",466,False,"IT","1",6,8,5,4,1,2,"IT Planning People Monitoring"
"Domingo","Errowe",467,False,"Marketing","1",3,5,0,0,0,0,"Marketing B2C Content Creatives"
"Wilbur","Lettley",468,False,"IT","1",2,16,1,0,0,0,"IT Planning Product Monitoring"
"Papagena","Impey",469,False,"Marketing","1",1,4,4,3,0,2,"Marketing B2C Content Creatives"
"Cesya","Cawsey",470,False,"Human Resources","1",0,4,3,2,1,0,"HR Organization External Relations"
"Gerik","De Giorgio",471,False,"IT","1",1,8,8,0,0,7,"IT Operation Big Data Support"
"Friedrick","Cholwell",473,False,"Marketing","1",3,15,0,0,0,0,"Marketing B2C Content Creatives"
"Andros","Brodway",474,False,"IT","1",4,13,7,7,6,7,"IT Planning People Monitoring"
"Davie","McCrorie",475,False,"Marketing","1",7,4,2,2,2,2,"Marketing B2C Content Creatives"
"Kippy","Braznell",476,False,"Marketing","1",1,8,8,7,7,7,"Marketing B2C Content Creatives"
"Joellen","Kemell",477,False,"Marketing","1",3,14,1,0,0,0,"Marketing B2C Content Creatives"
"Agata","Duckwith",478,True,"Marketing","1",1,3,3,2,1,2,"Marketing B2C Content Creatives"
"Ade","Pracy",479,False,"Marketing","1",4,7,1,0,0,0,"Marketing B2C Content Creatives"
"Gayla","Szreter",481,False,"Marketing","1",4,16,13,9,1,12,"Marketing B2C Content Creatives"
"Eleni","Vasey",482,False,"Marketing","1",2,15,3,2,1,2,"Marketing B2C Content Creatives"
"Jeanie","Brabyn",483,False,"IT","1",3,10,7,7,1,7,"IT Operation Big Data Analyst"
"Coralyn","Domenget",484,False,"Marketing","1",1,3,3,2,2,2,"Marketing B2C Content Creatives"
"Trixie","Sheaf",485,True,"Marketing","1",1,1,1,0,0,0,"Marketing B2C Content Creatives"
"Sayres","Checci",486,False,"IT","1",6,17,5,4,0,3,"IT Security Internal Analyst"
"Buddy","Ottery",487,False,"IT","1",2,7,1,0,0,0,"IT Planning People Assessment"
"Danni","Robberecht",488,True,"Marketing","1",1,8,8,7,7,7,"Marketing B2C Content Creatives"
"Farand","Caughan",491,False,"Marketing","1",6,20,4,3,1,3,"Marketing B2C Content Creatives"
"Ashbey","MacNamee",492,True,"Marketing","1",2,8,6,4,1,0,"Marketing B2C Content Creatives"
"Care","Casperri",493,False,"IT","1",0,3,2,2,2,2,"IT Operation Infrastructure Analyst"
"Paulita","Hartness",494,True,"Marketing","1",1,1,1,0,0,0,"Marketing B2C Content Creatives"
"Frayda","Ingliby",495,False,"IT","1",9,6,3,2,1,2,"IT Operation Big Data Analyst"
"Devin","Anthoine",496,False,"Marketing","1",9,10,1,1,0,0,"Marketing B2C Content Creatives"
"Gray","Breston",497,False,"IT","1",1,5,5,2,0,4,"IT Security External Auditor"
"Dasya","Goadsby",498,False,"Marketing","1",1,7,7,5,0,7,"Marketing B2C Content Creatives"
"Darn","Rosnau",499,False,"Marketing","1",8,26,5,2,0,0,"Marketing B2C Content Creatives"
"Stephen","Fynn",500,False,"Marketing","1",4,18,7,7,0,7,"Marketing B2C Content Creatives"
"Wallache","Dugue",501,False,"IT","1",4,6,2,2,2,2,"IT Operation Infrastructure Analyst"
"Domini","Bernardes",502,True,"Marketing","1",8,9,5,2,0,4,"Marketing B2C Content Creatives"
"Dario","McGinnis",505,False,"IT","1",2,30,5,4,1,2,"IT Planning Product Monitoring"
"Elston","Fritter",507,False,"Marketing","1",1,5,5,2,0,3,"Marketing B2C Content Creatives"
"Brenden","Askham",508,False,"Marketing","1",1,1,1,0,0,0,"Marketing B2C Content Creatives"
"Becca","Tyler",510,True,"IT","1",0,7,6,4,0,4,"IT Security Internal Network"
"Jozef","Saur",511,False,"IT","1",1,2,2,1,1,2,"IT Operation Big Data Analyst"
"Dionis","Grimshaw",513,False,"Marketing","1",1,10,10,9,9,0,"Marketing B2C Product Development"
"Nevin","Rickarsey",514,True,"IT","1",9,3,1,0,0,0,"IT Operation Big Data Support"
"Issie","McGlone",515,False,"IT","1",1,18,18,7,12,17,"IT Security Internal Network"
"Livia","Morgen",516,False,"Marketing","1",7,8,5,4,1,3,"Marketing B2C Product Development"
"Mason","Clifford",517,False,"IT","1",3,8,5,2,1,2,"IT Operation Infrastructure Analyst"
"Vito","Grouvel",518,False,"IT","1",2,18,1,0,0,1,"IT Security External Auditor"
"Merissa","Campo",520,False,"IT","1",1,25,25,10,3,9,"IT Planning Product Monitoring"
"Scarlett","Hagard",521,False,"IT","1",6,20,1,0,0,0,"IT Security Internal Analyst"
"Todd","Hackett",522,False,"IT","2",4,24,4,2,1,2,"IT Security External Auditor"
"Gardie","Westnedge",523,False,"Marketing","1",9,6,3,2,1,2,"Marketing B2C Product Development"
"Antons","Milliken",524,False,"IT","1",1,13,13,10,3,12,"IT Security External Network"
"Cicely","Ernshaw",525,False,"IT","1",7,8,3,2,1,2,"IT Operation Big Data Analyst"
"Marris","Piburn",526,False,"Marketing","1",4,8,5,2,0,2,"Marketing B2C Product Development"
"Barry","Dickon",527,False,"Marketing","1",1,5,5,4,1,3,"Marketing B2C Product Development"
"Eyde","Yokel",529,False,"IT","1",3,15,13,11,10,7,"IT Security External Network"
"Will","Jandak",530,False,"IT","1",1,4,4,2,3,2,"IT Operation Big Data Analyst"
"Zsa zsa","Sor",531,False,"IT","2",1,21,21,8,1,6,"IT Planning Product Assessment"
"Reginald","Medhurst",532,False,"Marketing","1",9,36,7,7,7,7,"Marketing B2C Product Development"
"Jacqueline","McPhelim",533,False,"Marketing","1",0,6,5,4,4,4,"Marketing B2C Product Development"
"Israel","Mawson",534,False,"Marketing","1",1,10,10,7,0,7,"Marketing B2C Product Development"
"Althea","Wybron",536,False,"IT","1",1,10,10,0,1,8,"IT Security External Network"
"Moselle","Lazer",538,True,"IT","1",5,6,2,2,0,2,"IT Security External Auditor"
"Vanni","Brayn",543,False,"IT","1",2,28,5,4,0,4,"IT Planning People Innovation"
"Wally","Windress",544,False,"IT","1",3,8,2,2,0,2,"IT Operation Infrastructure Analyst"
"Cynthy","Craine",546,False,"IT","1",2,31,5,2,1,4,"IT Planning Product Monitoring"
"Urbano","Banasevich",547,False,"IT","1",2,19,5,4,0,2,"IT Security External Network"
"Bordie","Ruste",548,False,"IT","1",2,11,5,4,0,2,"IT Planning People Monitoring"
"Gun","Nilges",549,False,"IT","2",5,33,29,8,11,10,"IT Operation Infrastructure Analyst"
"Ora","Mateu",550,False,"IT","1",2,19,10,7,0,8,"IT Security External Analyst"
"Christoper","McCracken",551,False,"Marketing","1",0,7,6,5,0,4,"Marketing B2C Product Development"
"Peyter","Millsom",554,True,"Marketing","1",1,6,5,3,1,4,"Marketing B2C Product Development"
"Sena","Lenihan",555,True,"Marketing","1",0,3,2,2,1,0,"Marketing B2C Product Development"
"Floris","Reinger",556,False,"IT","1",1,1,1,0,0,0,"IT Operation Big Data Consultant"
"Jarib","Janout",558,False,"Marketing","2",0,21,20,15,1,12,"Marketing B2B Company Relations"
"Ermanno","Chittem",560,False,"IT","1",1,3,3,2,0,2,"IT Security Internal Network"
"Ingaberg","Youdell",562,False,"IT","1",4,9,5,3,1,4,"IT Operation Big Data Analyst"
"Virge","Peartree",564,False,"IT","1",1,10,10,2,0,7,"IT Planning Product Innovation"
"Elton","Adrien",565,True,"IT","1",5,6,2,2,1,1,"IT Operation Infrastructure Analyst"
"Lelah","Heintz",566,True,"Human Resources","1",1,1,1,0,0,0,"HR Organization External Relations"
"Crissy","Plumley",567,False,"Marketing","1",0,10,9,8,7,8,"Marketing B2C Product Development"
"Annamaria","Bicknell",568,False,"Marketing","1",3,32,1,0,0,0,"Marketing B2C Product Development"
"Tyrone","Hamel",569,False,"IT","1",0,28,27,10,15,7,"IT Planning Product Assessment"
"Stacee","Rigard",571,False,"IT","1",0,12,11,7,6,7,"IT Operation Infrastructure Analyst"
"Vittoria","Chomicz",573,False,"Marketing","1",4,22,18,13,13,11,"Marketing B2C Product Development"
"Frankie","Steed",574,False,"IT","1",5,20,5,0,0,4,"IT Planning People Assessment"
"Jena","Dowson",575,False,"IT","1",6,26,3,2,0,1,"IT Planning Product Assessment"
"Yank","Mitcham",577,False,"IT","1",0,6,5,4,4,3,"IT Security External Network"
"Simon","Endricci",578,False,"IT","1",7,19,1,0,0,0,"IT Security Internal Auditor"
"Ban","Spurgeon",579,False,"IT","1",3,14,7,3,5,7,"IT Operation Infrastructure Support"
"Sindee","Vedyashkin",580,False,"Marketing","1",2,15,3,2,1,2,"Marketing B2C Product Development"
"Frayda","Foss",581,False,"IT","1",1,13,13,8,0,8,"IT Planning Product Innovation"
"Fiorenze","Kestell",582,True,"IT","1",7,15,7,6,7,7,"IT Planning Product Monitoring"
"Hershel","Towsie",584,True,"IT","1",7,8,4,3,1,3,"IT Security Internal Analyst"
"Juliane","Girodier",585,False,"Marketing","1",0,4,3,2,1,2,"Marketing B2C Product Development"
"Shauna","Stratz",586,False,"Marketing","1",4,10,8,7,0,0,"Marketing B2C Product Development"
"Ezra","Arkil",587,True,"Marketing","1",3,12,1,0,0,0,"Marketing B2C Product Development"
"Gail","De Ambrosis",590,True,"Human Resources","2",9,11,3,2,0,2,"HR People Development Promotion Policy"
"Cthrine","Whittock",591,False,"IT","1",4,8,2,2,2,0,"IT Operation Big Data Analyst"
"Emmalee","Hanster",592,False,"Marketing","1",1,10,10,3,9,7,"Marketing B2C Product Development"
"Tisha","Menere",593,True,"IT","1",5,4,2,2,1,2,"IT Security External Auditor"
"Byrom","Dunn",595,False,"Marketing","1",2,14,9,7,6,7,"Marketing B2C Product Development"
"Terri","Wentworth",597,False,"Marketing","1",3,37,10,9,7,7,"Marketing B2C Product Development"
"Ettie","Boobyer",599,False,"Marketing","1",7,16,14,3,1,10,"Marketing B2C Product Development"
"Gabriella","Iceton",600,False,"Marketing","1",9,15,11,9,6,9,"Marketing B2C Product Development"
"Shane","Kliment",601,False,"IT","1",7,22,20,6,5,13,"IT Planning Product Innovation"
"Cos","Steels",602,False,"IT","1",1,8,8,3,0,7,"IT Security Internal Auditor"
"Elvin","Heigl",604,False,"Marketing","1",4,10,6,5,0,5,"Marketing B2C Product Development"
"Gabriello","Cumpsty",605,False,"IT","1",1,10,10,9,5,8,"IT Planning People Innovation"
"Bernarr","Batiste",606,False,"Marketing","1",0,9,8,7,3,7,"Marketing B2C Product Development"
"Jules","OConnell",608,True,"Human Resources","1",0,8,7,7,1,0,"HR Organization External Relations"
"Charlot","Fonzone",611,False,"IT","1",4,8,3,2,1,2,"IT Security External Network"
"Shepherd","OCorrane",612,False,"IT","1",4,10,6,1,0,5,"IT Planning Product Monitoring"
"Bastian","McGrail",613,False,"Marketing","1",9,10,5,4,0,1,"Marketing B2C Product Development"
"Sebastien","Munt",614,True,"Marketing","1",1,0,0,0,0,0,"Marketing B2C Product Development"
"Finn","Eslie",615,False,"Marketing","1",3,20,1,0,0,1,"Marketing B2C Product Development"
"Stormie","Swetmore",616,False,"Marketing","1",2,10,8,7,0,7,"Marketing B2C Product Development"
"Niels","Sumers",618,False,"Marketing","1",5,8,0,0,0,0,"Marketing B2C Product Development"
"Bentley","Farris",620,False,"Marketing","1",1,5,5,4,0,3,"Marketing B2C Product Development"
"Brennen","Garthside",621,False,"Marketing","1",1,10,10,7,5,7,"Marketing B2C Product Development"
"Claretta","Sollars",622,True,"IT","1",1,1,1,0,0,0,"IT Operation Big Data Support"
"Alis","Rockcliffe",623,False,"IT","1",4,12,6,5,1,2,"IT Planning People Innovation"
"Maurizio","Pitrollo",624,False,"Marketing","1",5,28,2,2,1,2,"Marketing B2C Product Development"
"Abigale","Goodlet",625,False,"Marketing","1",7,22,18,16,11,8,"Marketing B2C Product Development"
"Guinevere","Glading",626,False,"Marketing","1",1,9,9,5,7,7,"Marketing B2C Product Development"
"Delaney","Lidyard",630,False,"IT","1",3,18,10,9,6,9,"IT Planning People Assessment"
"Vevay","De Laspee",631,True,"Marketing","1",8,6,4,2,1,2,"Marketing B2C Product Development"
"Eleonore","Brayne",632,False,"Marketing","1",0,3,2,2,2,1,"Marketing B2C Product Development"
"Vanda","Graser",634,False,"Marketing","1",3,18,1,0,0,0,"Marketing B2C Product Development"
"Yalonda","Reedshaw",635,False,"IT","1",6,8,6,5,4,3,"IT Planning People Monitoring"
"Idelle","MacGillivray",638,False,"IT","2",1,31,31,9,0,9,"IT Operation Big Data Analyst"
"Willy","Winchester",639,False,"IT","1",1,6,6,5,1,4,"IT Operation Infrastructure Support"
"Catharina","Kingscote",641,False,"Marketing","1",1,6,5,3,1,4,"Marketing B2C Product Development"
"Imogen","Ainsley",643,False,"IT","1",1,1,1,0,0,0,"IT Operation Big Data Analyst"
"Estele","Jadczak",644,False,"Human Resources","3",1,32,32,5,10,7,"HR Organization External"
"Sheelah","Quidenham",645,False,"Marketing","1",1,7,7,4,0,6,"Marketing B2C Product Development"
"Janeczka","Wolfinger",647,True,"IT","1",1,6,6,3,1,2,"IT Security Internal Network"
"Joshua","Daughtery",648,True,"Marketing","1",1,1,1,0,0,0,"Marketing B2C Product Development"
"Vinnie","Meffen",649,False,"IT","1",1,6,6,5,1,3,"IT Security Internal Auditor"
"Leif","Beranek",650,True,"Marketing","1",2,9,3,1,1,2,"Marketing B2C Product Development"
"Clemmie","Yes",652,False,"IT","1",4,9,3,2,0,2,"IT Security Internal Auditor"
"Nicholle","Sywell",653,False,"Marketing","1",4,13,7,7,5,7,"Marketing B2C Product Development"
"Oby","Grafom",655,False,"IT","1",0,6,5,3,0,3,"IT Operation Big Data Analyst"
"Myrtle","Reynoldson",656,False,"Marketing","1",4,17,3,0,1,0,"Marketing B2C Product Development"
"Saunders","Attac",657,False,"IT","1",1,1,1,0,0,0,"IT Operation Infrastructure Support"
"Francoise","Hatterslay",659,False,"Marketing","1",1,10,10,2,2,2,"Marketing B2C Product Development"
"Eduino","Hurch",661,False,"IT","1",4,21,1,0,0,0,"IT Planning Product Monitoring"
"Rolland","Hustler",662,False,"IT","1",3,8,0,0,0,0,"IT Operation Infrastructure Analyst"
"Oliviero","Maden",663,False,"IT","1",3,10,8,7,4,7,"IT Planning People Assessment"
"Kathrine","Greenshiels",664,False,"IT","1",7,21,3,2,0,2,"IT Planning Product Monitoring"
"Ashley","Rawcliffe",665,False,"Human Resources","1",4,10,2,2,0,2,"HR Organization External Relations"
"Gabriella","Faustin",666,False,"Marketing","1",1,8,8,2,0,6,"Marketing B2C Product Development"
"Pren","Simnel",667,True,"Marketing","1",0,5,4,3,0,2,"Marketing B2C Product Development"
"Joey","Probate",669,False,"Marketing","1",1,3,3,2,1,2,"Marketing B2C Product Development"
"Werner","Morville",671,False,"IT","2",4,26,2,2,0,1,"IT Operation Big Data Support"
"Cal","Hunter",675,False,"IT","1",0,3,2,2,2,2,"IT Operation Infrastructure Support"
"Paten","Yard",677,False,"Marketing","1",0,6,5,0,1,2,"Marketing B2C Product Development"
"Svend","Drohun",679,False,"IT","1",1,6,6,4,0,5,"IT Planning People Monitoring"
"Cody","Sprigg",680,False,"IT","1",1,1,1,0,0,0,"IT Operation Big Data Analyst"
"Germaine","Wailes",682,False,"Marketing","1",7,18,14,7,8,10,"Marketing B2C Product Development"
"Coreen","Upjohn",683,False,"IT","1",1,10,10,9,8,8,"IT Operation Infrastructure Analyst"
"Gino","Wendover",684,True,"Marketing","1",2,5,1,1,0,0,"Marketing B2C Product Development"
"Olympe","Petrushkevich",686,False,"IT","1",1,3,3,2,0,2,"IT Operation Infrastructure Analyst"
"Melessa","Lockhead",689,False,"IT","1",1,10,10,7,7,8,"IT Planning People Innovation"
"Mady","Fahey",690,False,"Marketing","1",1,6,6,0,1,2,"Marketing B2C Product Development"
"Craggie","Gayther",691,False,"IT","1",1,17,17,11,11,8,"IT Planning People Monitoring"
"Adair","Brummell",692,False,"Marketing","1",3,15,13,11,4,7,"Marketing B2C Product Development"
"Oona","Newvell",698,False,"Human Resources","2",2,16,9,7,7,1,"HR People Recruitment Job Posting"
"Ignacio","Delia",699,False,"IT","1",2,13,3,2,0,2,"IT Planning People Innovation"
"Haroun","Compson",700,False,"IT","1",0,5,4,2,1,1,"IT Operation Big Data Consultant"
"Bathsheba","Millichip",701,True,"IT","1",1,1,1,0,1,1,"IT Operation Big Data Consultant"
"Jodi","Lomasny",702,True,"IT","1",1,10,10,8,9,7,"IT Security Internal Analyst"
"Mack","Kalinowsky",704,False,"IT","1",1,1,1,0,0,0,"IT Operation Big Data Consultant"
"Portia","Charpling",705,False,"IT","1",2,5,3,2,0,2,"IT Operation Infrastructure Support"
"Mikael","Bax",707,False,"Marketing","1",0,4,3,2,1,2,"Marketing B2C Product Development"
"Natty","Law",709,False,"Marketing","1",0,8,7,7,0,5,"Marketing B2C Product Development"
"Quent","Kordes",710,False,"IT","1",1,10,10,7,2,8,"IT Operation Infrastructure Support"
"Morna","Willmore",712,False,"Marketing","1",3,NULL,2,2,2,2,"Marketing B2C Product Development"
"Whitney","Winchester",714,False,"Marketing","1",1,6,6,5,0,4,"Marketing B2C Product Development"
"Farah","OCorr",715,False,"IT","1",3,4,1,0,0,0,"IT Security External Analyst"
"Jermain","Freake",716,False,"IT","1",1,20,20,8,3,8,"IT Security Internal Analyst"
"Morry","Sutcliff",717,False,"Marketing","1",1,9,8,7,7,7,"Marketing B2C Product Development"
"Kerrill","Stapford",720,True,"Marketing","1",9,4,2,2,2,0,"Marketing B2C Product Development"
"Jules","Simmonett",721,False,"Marketing","1",1,20,20,7,11,10,"Marketing B2C Product Development"
"Nanette","Stirling",722,False,"Marketing","1",1,10,10,7,0,8,"Marketing B2C Product Development"
"Shurwood","Foan",723,True,"Marketing","1",3,18,4,3,1,3,"Marketing B2C Product Development"
"Clint","Clapperton",724,False,"Marketing","1",0,10,9,7,1,8,"Marketing B2C Product Development"
"Finley","Villa",725,False,"IT","1",1,9,9,7,0,7,"IT Planning People Innovation"
"Nye","Snookes",727,False,"IT","1",3,10,7,7,7,7,"IT Planning Product Innovation"
"Amble","Sanford",728,False,"Marketing","1",2,20,7,7,1,7,"Marketing B2C Product Development"
"Gardener","Cohen",729,False,"Marketing","1",5,20,18,13,1,12,"Marketing B2C Product Development"
"Briggs","Aimeric",730,False,"IT","1",3,32,5,1,1,3,"IT Planning Product Monitoring"
"Lind","Shalliker",731,False,"Human Resources","3",3,23,21,6,12,6,"HR People Recruitment"
"Robbert","Barnardo",732,False,"Marketing","1",8,10,2,2,2,2,"Marketing B2C Product Development"
"Felicdad","Sambrook",733,False,"IT","1",1,9,9,7,1,7,"IT Planning People Innovation"
"Courtnay","Grassick",734,False,"Human Resources","4",1,22,22,7,2,10,"HR People"
"Lutero","Kingswood",738,False,"Marketing","1",7,4,2,2,2,2,"Marketing B2C Product Development"
"Nannie","Freckelton",741,True,"IT","1",7,10,7,7,3,7,"IT Operation Big Data Analyst"
"Neille","Tegler",742,False,"IT","1",9,10,8,7,0,5,"IT Planning Product Innovation"
"Bianka","Hirth",743,False,"IT","1",4,10,1,0,0,0,"IT Planning People Innovation"
"Von","Douberday",744,False,"IT","1",2,9,5,2,1,4,"IT Security Internal Auditor"
"Sergent","Benedicto",746,False,"Marketing","1",9,28,22,2,11,13,"Marketing B2C Product Development"
"Jourdain","Doogue",747,False,"Marketing","1",7,10,8,7,7,7,"Marketing B2C Product Development"
"Tynan","Groocock",749,False,"Marketing","1",1,1,1,0,0,0,"Marketing B2C Product Development"
"Adore","Kivelhan",752,True,"IT","1",6,7,2,2,2,2,"IT Operation Infrastructure Support"
"Russell","Stainer",754,False,"Marketing","1",3,7,2,2,2,2,"Marketing B2C Product Promotions"
"Lindsy","Caddell",757,False,"Marketing","1",3,10,5,1,4,3,"Marketing B2C Product Promotions"
"Adler","Burrass",758,False,"IT","1",1,5,4,3,0,2,"IT Operation Infrastructure Consultant"
"Jacqueline","Ivatts",760,False,"Human Resources","1",9,12,8,3,3,6,"HR Organization External Relations"
"Lenci","Mulqueen",762,False,"Marketing","1",7,30,10,7,1,1,"Marketing B2C Product Promotions"
"Lucian","Brightwell",763,False,"IT","1",0,5,4,2,2,3,"IT Operation Big Data Support"
"Hendrika","Twomey",764,False,"Marketing","1",8,9,7,6,0,7,"Marketing B2C Product Promotions"
"Clarita","Allon",766,False,"Marketing","1",1,2,2,2,2,2,"Marketing B2C Product Promotions"
"Bartram","de Guise",769,False,"IT","1",2,19,2,2,2,2,"IT Operation Infrastructure Consultant"
"Dick","Woolrich",771,False,"Marketing","1",2,16,1,0,0,0,"Marketing B2C Product Promotions"
"Pet","Formilli",772,False,"IT","1",1,10,10,8,4,7,"IT Planning People Assessment"
"Fred","Martinets",773,False,"IT","1",6,6,1,0,0,1,"IT Security Internal Network"
"Duffy","Segges",775,False,"IT","1",3,7,0,0,0,0,"IT Planning People Assessment"
"Lin","McKelvey",776,False,"Marketing","1",1,34,34,6,1,16,"Marketing B2C Product Promotions"
"Aguste","Gerrett",780,True,"IT","1",1,10,10,9,7,8,"IT Operation Infrastructure Analyst"
"Nydia","Binnie",781,False,"Marketing","1",1,6,6,5,1,4,"Marketing B2C Product Promotions"
"Kendrick","Halwell",783,False,"Marketing","1",0,9,8,7,3,1,"Marketing B2C Product Promotions"
"Brok","Lissandre",784,False,"IT","1",1,2,2,2,0,2,"IT Security Internal Auditor"
"Jacob","Gouldie",785,True,"Marketing","1",4,8,5,4,1,3,"Marketing B2C Product Promotions"
"Addie","Stoak",786,False,"Marketing","1",1,6,6,5,1,4,"Marketing B2C Product Promotions"
"Burt","Blomfield",787,True,"IT","3",5,24,5,2,1,4,"IT Planning People"
